timestamp,day_of_week,hour_of_day,is_weekend,temperature,is_holiday,solar_generation,electricity_demand
2000-01-01 00:00:00,5,0,1,17.483570765056164,0,0.8534730811466651,512.319381577808
2000-01-01 01:00:00,5,1,1,14.308678494144077,0,4.869376510896108,439.05567261536856
2000-01-01 02:00:00,5,2,1,18.23844269050346,0,4.997991218564053,539.0906524143907
2000-01-01 03:00:00,5,3,1,22.61514928204013,0,2.73818846492048,523.2489679527196
2000-01-01 04:00:00,5,4,1,13.82923312638332,0,7.694526959246818,516.822822269112
2000-01-01 05:00:00,5,5,1,13.829315215254097,0,7.2357447902751755,606.2784631824277
2000-01-01 06:00:00,5,6,1,22.896064077536955,0,83.31417264333253,577.9807041114123
2000-01-01 07:00:00,5,7,1,18.837173645764544,0,191.18171976112455,496.8849035266671
2000-01-01 08:00:00,5,8,1,12.652628070325239,0,292.98427871494613,461.9772286867026
2000-01-01 09:00:00,5,9,1,17.712800217929825,0,150.7925228779393,376.54058257619397
2000-01-01 10:00:00,5,10,1,12.682911535937688,0,163.04315242354892,443.6906748989042
2000-01-01 11:00:00,5,11,1,12.671351232148716,0,96.82038268578702,512.9524318973652
2000-01-01 12:00:00,5,12,1,16.20981135783017,0,289.0297025645043,350.00275831763656
2000-01-01 13:00:00,5,13,1,5.43359877671101,0,218.52275670855624,340.38743876719815
2000-01-01 14:00:00,5,14,1,6.375410837434837,0,282.08662820804744,314.1349537968899
2000-01-01 15:00:00,5,15,1,12.188562353795136,0,81.16186418766631,482.98177665959616
2000-01-01 16:00:00,5,16,1,9.93584439832788,0,143.72476800062674,436.4966767353585
2000-01-01 17:00:00,5,17,1,16.571236662976368,0,182.12813628094204,372.7263012443808
2000-01-01 18:00:00,5,18,1,10.459879622393945,0,108.78650467324856,597.5857479907286
2000-01-01 19:00:00,5,19,1,7.938481493323542,0,2.9321401897436283,647.9826486649633
2000-01-01 20:00:00,5,20,1,22.32824384460777,0,4.89014764215224,680.8524221716812
2000-01-01 21:00:00,5,21,1,13.871118497567322,0,1.4445414923355049,620.2738431547642
2000-01-01 22:00:00,5,22,1,15.33764102343962,0,3.494137837224743,636.9567160898206
2000-01-01 23:00:00,5,23,1,7.8762590689327165,0,5.648042389955416,517.7984496971742
2000-01-02 00:00:00,6,0,1,12.278086377374088,0,9.818863714639948,561.4454957945237
2000-01-02 01:00:00,6,1,1,15.55461294854933,0,5.034356630989447,528.9527067140287
2000-01-02 02:00:00,6,2,1,9.245032112888486,0,0.622449626142858,502.9593340928355
2000-01-02 03:00:00,6,3,1,16.87849009172836,0,9.506536096396088,509.78418400993866
2000-01-02 04:00:00,6,4,1,11.996806550405974,0,9.509485539948573,439.65724173250754
2000-01-02 05:00:00,6,5,1,13.541531251033616,0,7.763796835884834,591.5500729834948
2000-01-02 06:00:00,6,6,1,11.991466938853016,0,162.67339270370627,467.06521628551695
2000-01-02 07:00:00,6,7,1,24.261390922544688,0,193.46360443171392,366.7313641385799
2000-01-02 08:00:00,6,8,1,14.932513876310331,0,277.1493814469263,317.63471249875465
2000-01-02 09:00:00,6,9,1,9.711445355220498,0,96.18856455873376,461.98277118318947
2000-01-02 10:00:00,6,10,1,19.112724560515943,0,211.90164548340175,466.32059850270554
2000-01-02 11:00:00,6,11,1,8.895781750144888,0,133.69878203209583,326.91549250183994
2000-01-02 12:00:00,6,12,1,16.044317975023777,0,85.51511661639225,526.4118559064271
2000-01-02 13:00:00,6,13,1,5.201649380601122,0,116.62678991712507,457.12509015535187
2000-01-02 14:00:00,6,14,1,8.359069755507846,0,155.7021624758027,432.867997597462
2000-01-02 15:00:00,6,15,1,15.984306179345618,0,160.1192450624741,537.8166322475846
2000-01-02 16:00:00,6,16,1,18.692332899977053,0,147.63916055617045,496.5762202785323
2000-01-02 17:00:00,6,17,1,15.856841405949853,0,111.48050389993331,431.0125539436639
2000-01-02 18:00:00,6,18,1,14.421758588058797,0,164.14178704851608,519.6262722573542
2000-01-02 19:00:00,6,19,1,13.494481522053556,0,3.372779419124128,668.5146243649002
2000-01-02 20:00:00,6,20,1,7.607390048162863,0,9.349849113025563,570.2104534620707
2000-01-02 21:00:00,6,21,1,11.400778958026457,0,2.456476327404017,578.7534879883053
2000-01-02 22:00:00,6,22,1,12.696806145201062,0,2.91376633549034,635.1614001235242
2000-01-02 23:00:00,6,23,1,20.285611131094576,0,7.09425195896884,535.4501246431348
2000-01-03 00:00:00,0,0,0,16.71809144784231,0,1.476029936385308,470.905664210821
2000-01-03 01:00:00,0,1,0,6.18479922318633,0,8.352283440536185,470.14524266182855
2000-01-03 02:00:00,0,2,0,16.620419846973974,0,5.022332738254276,462.6595859227431
2000-01-03 03:00:00,0,3,0,13.074588597918417,0,8.575327949876893,584.0098815416294
2000-01-03 04:00:00,0,4,0,11.615389998470206,0,0.8688648206324157,515.3479383337691
2000-01-03 05:00:00,0,5,0,18.05838144420434,0,7.713784811872637,520.743743967744
2000-01-03 06:00:00,0,6,0,20.154997612479754,0,205.48188002256137,427.77348263291356
2000-01-03 07:00:00,0,7,0,19.656400595580994,0,155.43197356289463,458.09739505219295
2000-01-03 08:00:00,0,8,0,10.803912383886807,0,287.4498505103644,408.39462543204303
2000-01-03 09:00:00,0,9,0,13.453938120743928,0,119.22141611059412,496.00804529498237
2000-01-03 10:00:00,0,10,0,16.65631715701782,0,143.58178219462258,474.8223268669167
2000-01-03 11:00:00,0,11,0,19.877725635611796,0,170.38024496993148,450.5318191704439
2000-01-03 12:00:00,0,12,0,12.60412881077355,0,161.96510920446372,421.9171940210689
2000-01-03 13:00:00,0,13,0,14.071705116680914,0,104.57933228672388,454.74240851950606
2000-01-03 14:00:00,0,14,0,9.468325129969859,0,221.20589301385027,377.69440997448265
2000-01-03 15:00:00,0,15,0,9.018966879596647,0,92.78630850447884,469.09731522221836
2000-01-03 16:00:00,0,16,0,19.062629111970992,0,130.1346315014481,458.7647967528138
2000-01-03 17:00:00,0,17,0,21.781200142854114,0,292.513359780713,367.122084094759
2000-01-03 18:00:00,0,18,0,14.63994939209833,0,101.30612515733118,562.6105409338165
2000-01-03 19:00:00,0,19,0,20.01766448946012,0,4.316881283735915,656.9591743236421
2000-01-03 20:00:00,0,20,0,16.80818012523817,0,7.793414132564292,681.0024925037827
2000-01-03 21:00:00,0,21,0,11.774401226974378,0,8.552916222259864,666.5285154549089
2000-01-03 22:00:00,0,22,0,16.80697802754207,0,9.371515191878059,542.4012906197459
2000-01-03 23:00:00,0,23,0,22.690182832329846,0,9.819863257862792,637.1327374001961
2000-01-04 00:00:00,1,0,0,14.820869804450242,0,5.3716841804488045,542.1686590524289
2000-01-04 01:00:00,1,1,0,22.82321827907003,0,9.24687023015918,538.8334105783293
2000-01-04 02:00:00,1,2,0,1.9012744795512777,0,4.348744245345323,524.0306302403922
2000-01-04 03:00:00,1,3,0,19.10951252187612,0,3.6956271090790107,526.0557430360607
2000-01-04 04:00:00,1,4,0,15.435235341190856,0,0.9479846542832804,533.8343202223964
2000-01-04 05:00:00,1,5,0,13.504963247670663,0,7.929545906182788,547.6060838492751
2000-01-04 06:00:00,1,6,0,15.458803882677511,0,66.28339677971246,575.2036517878491
2000-01-04 07:00:00,1,7,0,5.0621554269955364,0,75.90486021656372,421.280446033578
2000-01-04 08:00:00,1,8,0,13.90164056081244,0,85.36236260153147,531.301331178385
2000-01-04 09:00:00,1,9,0,16.78556285755873,0,213.93094095852058,440.35173045049976
2000-01-04 10:00:00,1,10,0,22.38947022370758,0,260.2820164499601,421.8061525158458
2000-01-04 11:00:00,1,11,0,12.408648908631763,0,275.37746326258014,337.7422328471942
2000-01-04 12:00:00,1,12,0,10.957531985534061,0,253.19270033618932,384.53729168577297
2000-01-04 13:00:00,1,13,0,12.491214782077318,0,272.2694426310341,324.22399402258077
2000-01-04 14:00:00,1,14,0,19.57701058851037,0,220.81547324415743,314.16880168258336
2000-01-04 15:00:00,1,15,0,16.643755548298422,0,112.88709224871019,520.7678643526241
2000-01-04 16:00:00,1,16,0,12.351198981164806,0,118.75214524238774,469.61106093313236
2000-01-04 17:00:00,1,17,0,17.56633716556678,0,140.63975473448664,414.83623653004105
2000-01-04 18:00:00,1,18,0,15.485387746740201,0,137.03694904392927,628.6096446949018
